Bag_ID,Date,Site_ID,Ecoregion,Treatment,Plant_Number,GPS_Lat,GPS_Lon,Field_Temp_C,Field_Dist_From_Road_m,Field_Soil_Compaction_PSI,Field_Percent_Cover,Field_Damage_Score_0_to_4,Field_Open_Flowers,Field_Notes,Lab_Adult_Bugs,Lab_Larvae_Count,Lab_Egg_Count,Lab_Dry_Leaf_Biomass_g,Lab_Dry_Root_Biomass_g,Lab_Spine_Density_0_to_2,Lab_Leaf_CN_Ratio,Lab_Root_AMF_Colonization_Pct,Soil_pH_Site_Avg,Soil_Nitrogen_ppm_Site_Avg,Soil_Organic_Matter_Pct_Site_Avg,Soil_Nematode_Count_Site_Avg,Soil_AMF_Spore_Count_Site_Avg
0522-S09-D-P10-COMP,2026-05-22,S09,Panhandle,Disturbed,10,33.6246,-101.4389,32.5,2.8,272,14,2,1,Ants present,20,35,125,18.4,28.0,0,12.3,7,7.0,20.2,0.3,105,17
0522-S10-D-P01-COMP,2026-05-22,S10,Panhandle,Disturbed,1,33.28536,-102.06203,37.2,2.1,238,1,2,0,Looks healthy,14,42,100,18.0,18.5,0,15.0,0,7.7,25.2,2.2,540,40
0522-S10-D-P02-COMP,2026-05-22,S10,Panhandle,Disturbed,2,33.28536,-102.06203,37.2,2.1,238,1,4,0,Looks healthy,12,85,84,14.3,17.9,1,13.0,8,7.7,25.2,2.2,540,40
0522-S10-D-P03-COMP,2026-05-22,S10,Panhandle,Disturbed,3,33.28536,-102.06203,37.2,2.1,238,30,4,2,Looks healthy,13,52,115,10.5,23.0,0,12.2,5,7.7,25.2,2.2,540,40
0522-S10-D-P04-COMP,2026-05-22,S10,Panhandle,Disturbed,4,33.28536,-102.06203,37.2,2.1,238,1,3,0,Mowed recently,10,80,229,13.9,18.3,1,10.3,8,7.7,25.2,2.2,540,40
0522-S10-D-P05-COMP,2026-05-22,S10,Panhandle,Disturbed,5,33.28536,-102.06203,37.2,2.1,238,22,3,2,Mowed recently,14,52,171,16.6,31.9,1,11.3,10,7.7,25.2,2.2,540,40
0522-S10-D-P06-COMP,2026-05-22,S10,Panhandle,Disturbed,6,33.28536,-102.06203,37.2,2.1,238,0,4,2,Drought stressed,14,57,150,25.0,26.6,0,14.8,13,7.7,25.2,2.2,540,40
0522-S10-D-P07-COMP,2026-05-22,S10,Panhandle,Disturbed,7,33.28536,-102.06203,37.2,2.1,238,18,2,2,Looks healthy,9,53,215,13.6,23.4,1,10.1,5,7.7,25.2,2.2,540,40
0522-S10-D-P08-COMP,2026-05-22,S10,Panhandle,Disturbed,8,33.28536,-102.06203,37.2,2.1,238,30,2,0,Ants present,9,65,173,21.3,33.7,0,12.8,13,7.7,25.2,2.2,540,40
0522-S10-D-P09-COMP,2026-05-22,S10,Panhandle,Disturbed,9,33.28536,-102.06203,37.2,2.1,238,19,2,1,,13,35,93,12.0,27.1,0,12.6,12,7.7,25.2,2.2,540,40
0522-S10-D-P10-COMP,2026-05-22,S10,Panhandle,Disturbed,10,33.28536,-102.06203,37.2,2.1,238,6,4,2,Ants present,19,23,92,10.5,28.5,0,13.1,5,7.7,25.2,2.2,540,40
0522-S11-U-P01-COMP,2026-05-22,S11,Panhandle,Undisturbed,1,33.20301,-101.87352,36.9,16.3,58,74,2,9,Very thorny,3,1,26,39.2,73.7,1,25.1,47,7.5,21.4,1.6,264,264
0522-S11-U-P02-COMP,2026-05-22,S11,Panhandle,Undisturbed,2,33.20301,-101.87352,36.9,16.3,58,78,0,10,Very thorny,3,15,40,26.3,63.7,1,28.5,80,7.5,21.4,1.6,264,264
0522-S11-U-P03-COMP,2026-05-22,S11,Panhandle,Undisturbed,3,33.20301,-101.87352,36.9,16.3,58,61,2,7,Very thorny,3,7,5,27.7,91.4,2,25.5,71,7.5,21.4,1.6,264,264
0522-S11-U-P04-COMP,2026-05-22,S11,Panhandle,Undisturbed,4,33.20301,-101.87352,36.9,16.3,58,70,2,14,,2,6,45,25.6,83.7,2,24.6,64,7.5,21.4,1.6,264,264
0522-S11-U-P05-COMP,2026-05-22,S11,Panhandle,Undisturbed,5,33.20301,-101.87352,36.9,16.3,58,69,1,8,Huge root,1,10,4,30.2,59.8,1,23.1,51,7.5,21.4,1.6,264,264
0522-S11-U-P06-COMP,2026-05-22,S11,Panhandle,Undisturbed,6,33.20301,-101.87352,36.9,16.3,58,81,0,6,Huge root,1,9,38,47.2,82.4,2,23.5,79,7.5,21.4,1.6,264,264
0522-S11-U-P07-COMP,2026-05-22,S11,Panhandle,Undisturbed,7,33.20301,-101.87352,36.9,16.3,58,99,0,13,Huge root,0,18,22,39.6,87.9,1,28.3,41,7.5,21.4,1.6,264,264
0522-S11-U-P08-COMP,2026-05-22,S11,Panhandle,Undisturbed,8,33.20301,-101.87352,36.9,16.3,58,78,0,12,Flowering heavily,2,12,19,41.1,59.8,1,24.3,58,7.5,21.4,1.6,264,264
0522-S11-U-P09-COMP,2026-05-22,S11,Panhandle,Undisturbed,9,33.20301,-101.87352,36.9,16.3,58,92,2,6,Huge root,0,8,10,41.9,90.7,1,24.2,74,7.5,21.4,1.6,264,264
0522-S11-U-P10-COMP,2026-05-22,S11,Panhandle,Undisturbed,10,33.20301,-101.87352,36.9,16.3,58,96,0,6,Very thorny,5,0,43,32.9,98.2,1,24.2,51,7.5,21.4,1.6,264,264
0522-S12-U-P01-COMP,2026-05-22,S12,Panhandle,Undisturbed,1,33.87585,-102.17598,34.1,24.8,118,68,2,14,,4,0,50,48.5,87.6,1,28.1,44,6.6,31.7,0.5,597,299
0522-S12-U-P02-COMP,2026-05-22,S12,Panhandle,Undisturbed,2,33.87585,-102.17598,34.1,24.8,118,68,0,5,Very thorny,1,14,5,26.6,97.3,1,29.2,72,6.6,31.7,0.5,597,299
0522-S12-U-P03-COMP,2026-05-22,S12,Panhandle,Undisturbed,3,33.87585,-102.17598,34.1,24.8,118,63,0,15,Very thorny,5,18,2,48.3,57.2,2,20.2,71,6.6,31.7,0.5,597,299
0522-S12-U-P04-COMP,2026-05-22,S12,Panhandle,Undisturbed,4,33.87585,-102.17598,34.1,24.8,118,91,2,9,,4,11,37,28.2,91.8,2,24.1,45,6.6,31.7,0.5,597,299
0522-S12-U-P05-COMP,2026-05-22,S12,Panhandle,Undisturbed,5,33.87585,-102.17598,34.1,24.8,118,93,1,10,Huge root,1,19,10,28.5,67.0,2,20.5,48,6.6,31.7,0.5,597,299
0522-S12-U-P06-COMP,2026-05-22,S12,Panhandle,Undisturbed,6,33.87585,-102.17598,34.1,24.8,118,78,2,7,,1,8,41,43.4,97.2,2,29.3,73,6.6,31.7,0.5,597,299
0522-S12-U-P07-COMP,2026-05-22,S12,Panhandle,Undisturbed,7,33.87585,-102.17598,34.1,24.8,118,90,1,7,Flowering heavily,3,7,26,28.4,53.2,2,28.6,74,6.6,31.7,0.5,597,299
0522-S12-U-P08-COMP,2026-05-22,S12,Panhandle,Undisturbed,8,33.87585,-102.17598,34.1,24.8,118,96,2,10,Flowering heavily,3,12,36,45.9,70.8,1,28.8,74,6.6,31.7,0.5,597,299
0522-S12-U-P09-COMP,2026-05-22,S12,Panhandle,Undisturbed,9,33.87585,-102.17598,34.1,24.8,118,70,0,11,,0,19,50,42.7,98.0,1,28.3,77,6.6,31.7,0.5,597,299
0522-S12-U-P10-COMP,2026-05-22,S12,Panhandle,Undisturbed,10,33.87585,-102.17598,34.1,24.8,118,63,1,15,Flowering heavily,0,16,4,27.2,63.9,1,22.4,61,6.6,31.7,0.5,597,299
0523-S13-U-P01-COMP,2026-05-23,S13,Central_Texas,Undisturbed,1,30.19869,-97.38181,33.2,19.4,143,73,0,5,Huge root,3,4,11,31.3,92.6,1,21.3,72,7.1,35.9,2.5,485,240
